programa,-1,-1,1
hipotenusa@,-55,-2,1
;,-75,-1,1
variables,-15,-1,2
real,-12,-1,3
radio%,-52,-2,3
,,-76,-1,3
radiocuadrado%,-52,-2,3
,,-76,-1,3
area%,-52,-2,3
;,-75,-1,3
logico,-14,-1,4
cumple#,-54,-2,4
;,-75,-1,4
inicio,-2,-1,5
repetir,-9,-1,6
inicio,-2,-1,7
radio%,-52,-2,8
=,-26,-1,8
leer,-4,-1,8
(,-73,-1,8
),-74,-1,8
;,-75,-1,8
radiocuadrado%,-52,-2,9
=,-26,-1,9
(,-73,-1,9
radio%,-52,-2,9
*,-21,-1,9
radio%,-52,-2,9
),-74,-1,9
;,-75,-1,9
area%,-52,-2,10
=,-26,-1,10
3.1416,-61,-1,10
*,-21,-1,10
radiocuadrado%,-52,-2,10
;,-75,-1,10
escribir,-5,-1,11
(,-73,-1,11
"Area: ",-63,-1,11
+,-24,-1,11
area%,-52,-2,11
),-74,-1,11
;,-75,-1,11
fin,-3,-1,12
hasta,-10,-1,13
(,-73,-1,13
radio%,-52,-2,13
>,-33,-1,13
5,-61,-1,13
),-74,-1,13
si,-6,-1,14
(,-73,-1,14
area%,-52,-2,14
>,-33,-1,14
10,-61,-1,14
),-74,-1,13
entonces,-16,-1,14
inicio,-2,-1,15
escribir,-5,-1,16
(,-73,-1,16
"El area es mayor a 10",-63,-1,16
),-74,-1,16
;,-75,-1,16
fin,-3,-1,17
sino,-7,-1,18
inicio,-2,-1,19
escribir,-5,-1,20
(,-73,-1,20
"El area NO es mayor a 10",-63,-1,20
),-74,-1,20
;,-75,-1,20
fin,-3,-1,21
mientras,-8,-1,22
(,-73,-1,22
cumple#,-54,-2,22
==,-35,-1,22
true,-64,-1,22
),-74,-1,22
hacer,-17,-1,22
inicio,-2,-1,23
escribir,-5,-1,24
(,-73,-1,24
"Hola",-63,-1,24
),-74,-1,24
;,-75,-1,24
cumple#,-54,-2,25
=,-26,-1,25
false,-65,-1,25
;,-75,-1,25
fin,-3,-1,26
fin,-3,-1,27
